Title,Genres,Publishers,Review Score,Console,Rating,Year
Bionicle Heroes,Action,Eidos,59,X360,T,2006
Bullet Witch,Action,Atari,55,X360,M,2006
Death Jr. II: Root of Evil,Action,Konami,68,Sony PSP,E,2006
Alex Rider: Stormbreaker,"Action,Adventure",THQ,48,Nintendo DS,M,2006
Cartoon Network Racing,Racing / Driving,,55,Nintendo DS,E,2006
Guilty Gear: Dust Strikers,Action,,60,Nintendo DS,E,2006
Gunpey DS,Strategy,Namco,70,Nintendo DS,E,2006
Lara Croft Tomb Raider: Legend,"Action,Racing / Driving",Eidos,58,Nintendo DS,E,2006
Worms: Open Warfare,"Action,Strategy",THQ,64,Nintendo DS,E,2006
Mercury Meltdown,Strategy,,78,Sony PSP,M,2006
MTX Mototrax,"Racing / Driving,Sports",Activision,67,Sony PSP,M,2006
Snoopy vs. the Red Baron,Action,Namco,76,Sony PSP,E,2006
Super Monkey Ball Adventure,"Action,Racing / Driving",Sega,56,Sony PSP,E,2006
Ys VI: The Ark of Napishtim,"Action,Role-Playing (RPG)",Konami,64,Sony PSP,E,2006
Bomberman Land Touch!,Action,,78,Nintendo DS,E,2006
Point Blank DS,Action,"Atari,Namco",66,Nintendo DS,M,2006
Scurge: Hive,Action,,70,Nintendo DS,M,2006
Star Trek: Tactical Assault,"Action,Strategy",Ubisoft,63,Nintendo DS,T,2006
Tao's Adventure: Curse of the Demon Seal,Role-Playing (RPG),Konami,50,Nintendo DS,E,2006
Ford Bold Moves Street Racing,Racing / Driving,Eidos,52,Sony PSP,T,2006
Gitaroo Man Lives!,Simulation,,80,Sony PSP,E,2006
Gradius Collection,Action,Konami,76,Sony PSP,T,2006
The Legend of Heroes II: Prophecy of the Moonli...,Role-Playing (RPG),Namco,63,Sony PSP,E,2006
Pac-Man World Rally,"Action,Racing / Driving",Namco,51,Sony PSP,T,2006
Bomberman: Act Zero,Action,Konami,34,X360,E,2006
Earth Defense Force 2017,Action,,69,X360,T,2006
WarTech: Senko no Ronde,Action,Ubisoft,60,X360,T,2006
MechAssault: Phantom War,Action,,66,Nintendo DS,E,2006
Astonishia Story,"Role-Playing (RPG),Strategy",Ubisoft,48,Sony PSP,T,2006
B-Boy,Action,Sony,50,Sony PSP,E,2006
BattleZone,Action,Atari,57,Sony PSP,E,2006
Bounty Hounds,"Action,Strategy",Namco,63,Sony PSP,T,2006
Bubble Bobble Evolution,Action,,47,Sony PSP,E,2006
MotoGP,"Racing / Driving,Sports",Sony,69,Sony PSP,E,2006
OutRun 2006: Coast 2 Coast,Racing / Driving,Sega,82,Sony PSP,E,2006
Warhammer: Battle for Atluma,Strategy,Namco,55,Sony PSP,M,2006
SBK: Snowboard Kids,"Action,Sports",,63,Nintendo DS,E,2006
Tenchu: Dark Secret,Action,Nintendo,37,Nintendo DS,E,2006
Dungeon Maker: Hunting Ground,"Action,Role-Playing (RPG)",,70,Sony PSP,E,2006
Metal Gear Solid: Digital Graphic Novel,Adventure,Konami,78,Sony PSP,T,2006
Star Trek: Tactical Assault,"Action,Strategy",Ubisoft,64,Sony PSP,E,2006
Micro Machines V4,"Action,Racing / Driving",,61,Sony PSP,E,2006
Platypus,Action,,59,Sony PSP,T,2006
Custom Robo Arena,"Action,Role-Playing (RPG)",Nintendo,74,Nintendo DS,T,2006
Gurumin: A Monstrous Adventure,Action,,78,Sony PSP,T,2006
Spider-Man 3,Action,Ubisoft,58,Sony PSP,M,2006
Wii Fit,"Educational,Sports",Nintendo,80,Nintendo Wii,T,2007
Halo 3,Action,Microsoft,94,X360,E,2007
Call of Duty 4: Modern Warfare,Action,Activision,94,X360,E,2007
Super Mario Galaxy,Action,Nintendo,97,Nintendo Wii,E,2007
Mario Party DS,"Action,Strategy",Nintendo,72,Nintendo DS,T,2007
Mario Party 8,"Action,Strategy",Nintendo,62,Nintendo Wii,T,2007
Guitar Hero III: Legends of Rock,"Action,Simulation",Activision,85,X360,T,2007
Link's Crossbow Training,Action,Nintendo,68,Nintendo Wii,E,2007
Guitar Hero III: Legends of Rock,"Action,Simulation",Activision,86,Nintendo Wii,T,2007
Assassin's Creed,Action,Ubisoft,81,X360,T,2007
LEGO Star Wars: The Complete Saga,Action,,80,Nintendo Wii,M,2007
Call of Duty 4: Modern Warfare,Action,Activision,94,PlayStation 3,E,2007
Mario & Sonic at the Olympic Games,"Action,Sports","Nintendo,Sega",67,Nintendo Wii,E,2007
LEGO Star Wars: The Complete Saga,"Action,Racing / Driving",,80,Nintendo DS,E,2007
Forza Motorsport 2,Racing / Driving,Microsoft,90,X360,T,2007
Madden NFL 08,Sports,EA,85,X360,E,2007
Guitar Hero II,"Action,Simulation",Activision,92,X360,T,2007
Rock Band,"Action,Simulation",,92,X360,E,2007
The Legend of Zelda: Phantom Hourglass,Action,Nintendo,90,Nintendo DS,E,2007
Pokmon Mystery Dungeon: Explorers of Darkness,Role-Playing (RPG),Nintendo,59,Nintendo DS,E,2007
Pokmon Mystery Dungeon: Explorers of Time,Role-Playing (RPG),Nintendo,59,Nintendo DS,T,2007
Assassin's Creed,Action,Ubisoft,81,PlayStation 3,T,2007
Uncharted: Drake's Fortune,Action,Sony,88,PlayStation 3,T,2007
Mass Effect,"Action,Role-Playing (RPG)",Microsoft,91,X360,T,2007
Cooking Mama 2: Dinner with Friends,Simulation,,70,Nintendo DS,E,2007
BioShock,Action,2K,96,X360,T,2007
Super Paper Mario,"Action,Role-Playing (RPG)",Nintendo,85,Nintendo Wii,E,2007
Game Party,Action,Midway,25,Nintendo Wii,T,2007
Ratchet & Clank: Size Matters,Action,Sony,85,Sony PSP,E,2007
Dance Dance Revolution Hottest Party,Action,Konami,73,Nintendo Wii,T,2007
Cooking Mama: Cook Off,Simulation,,61,Nintendo Wii,M,2007
Gran Turismo 5: Prologue,"Racing / Driving,Simulation",Sony,80,PlayStation 3,E,2007
Professor Layton and the Curious Village,"Adventure,Educational,Strategy",Nintendo,85,Nintendo DS,E,2007
Resident Evil 4,Action,Capcom,91,Nintendo Wii,T,2007
The Elder Scrolls IV: Oblivion,"Action,Role-Playing (RPG)",Ubisoft,93,PlayStation 3,T,2007
Transformers: Autobots,"Action,Racing / Driving",Activision,67,Nintendo DS,E,2007
Transformers: Decepticons,"Action,Racing / Driving",Activision,66,Nintendo DS,M,2007
Diddy Kong Racing DS,"Racing / Driving,Sports",Nintendo,63,Nintendo DS,T,2007
Big Brain Academy: Wii Degree,Action,Nintendo,68,Nintendo Wii,M,2007
Need for Speed: ProStreet,Racing / Driving,EA,72,X360,T,2007
Deal or No Deal,Strategy,,20,Nintendo DS,E,2007
LEGO Star Wars: The Complete Saga,Action,,80,X360,T,2007
Sonic and the Secret Rings,Action,Sega,69,Nintendo Wii,E,2007
The Orange Box,Action,,96,X360,E,2007
Crackdown,"Action,Racing / Driving,Role-Playing (RPG)",Microsoft,83,X360,M,2007
Rock Band,"Action,Simulation",,92,PlayStation 3,M,2007
Tiger Woods PGA Tour 08,Sports,EA,72,Nintendo Wii,T,2007
WWE Smackdown vs. Raw 2008,Sports,THQ,71,X360,T,2007
Madden NFL 08,Sports,EA,81,PlayStation 3,T,2007
Call of Duty 4: Modern Warfare,Action,Activision,75,Nintendo DS,T,2007
MySims,"Simulation,Strategy",EA,68,Nintendo Wii,T,2007
Mario Strikers Charged,"Action,Sports",Nintendo,79,Nintendo Wii,E,2007
Star Wars Battlefront: Renegade Squadron,Action,,73,Sony PSP,T,2007
Flash Focus: Vision Training in Minutes a Day,Action,Nintendo,59,Nintendo DS,T,2007
Metroid Prime 3: Corruption,Action,Nintendo,90,Nintendo Wii,T,2007
Tom Clancy's Ghost Recon: Advanced Warfighter 2...,Action,Ubisoft,86,X360,T,2007
Madden NFL 08,Sports,EA,76,Nintendo Wii,M,2007
Ratchet & Clank Future: Tools of Destruction,Action,Sony,89,PlayStation 3,E,2007
LEGO Star Wars: The Complete Saga,Action,,80,PlayStation 3,M,2007
Rayman Raving Rabbids 2,Action,Ubisoft,67,Nintendo Wii,T,2007
NBA 2K8 ,Sports,2K,81,X360,M,2007
Namco Museum DS,Action,Namco,67,Nintendo DS,E,2007
Need for Speed: ProStreet,Racing / Driving,EA,73,PlayStation 3,T,2007
Blazing Angels: Squadrons of WWII,Action,Ubisoft,57,Nintendo Wii,E,2007
Drawn to Life,Action,THQ,73,Nintendo DS,T,2007
EA Playground,"Action,Racing / Driving,Sports",EA,66,Nintendo Wii,T,2007
Major League Baseball 2K7,Sports,2K,79,X360,E,2007
Resident Evil: The Umbrella Chronicles,Action,"Capcom,Nintendo",75,Nintendo Wii,T,2007
NCAA Football 08,Sports,EA,81,X360,E,2007
Spectrobes,"Action,Strategy",,63,Nintendo DS,E,2007
The Sims 2: Castaway,Simulation,EA,66,Nintendo DS,M,2007
WWE Smackdown vs. Raw 2008,Sports,THQ,74,PlayStation 3,E,2007
Madden NFL 08,Sports,EA,75,Sony PSP,E,2007
NBA Live 08,Sports,EA,73,PlayStation 3,M,2007
The Simpsons Game,Action,EA,69,Nintendo DS,M,2007
Ace Combat 6: Fires of Liberation,"Action,Simulation",Namco,80,X360,E,2007
Heavenly Sword,Action,Sony,79,PlayStation 3,E,2007
Ninja Gaiden Sigma,Action,,88,PlayStation 3,E,2007
Ben 10: Protector of the Earth,Action,,63,Nintendo Wii,T,2007
The Simpsons Game,Action,EA,71,X360,T,2007
CrossworDS,"Educational,Strategy",,67,Nintendo DS,T,2007
Sonic Rush Adventure,"Action,Sports",Sega,78,Nintendo DS,T,2007
Tiger Woods PGA Tour 08,Sports,EA,80,X360,T,2007
Tony Hawk's Proving Ground,Sports,Activision,72,X360,T,2007
Call of Duty: Roads to Victory,Action,Activision,64,Sony PSP,E,2007
Transformers: The Game,Action,Activision,52,X360,M,2007
NBA 2K8,Sports,2K,81,PlayStation 3,M,2007
Medal of Honor: Heroes 2,Action,EA,69,Sony PSP,E,2007
Spider-Man 3,Action,Activision,63,X360,E,2007
Tom Clancy's Rainbow Six: Vegas,Action,Ubisoft,86,PlayStation 3,E,2007
Need for Speed: ProStreet,Racing / Driving,EA,61,Nintendo Wii,M,2007
NBA LIVE 08 ,Sports,EA,73,X360,T,2007
Dance Dance Revolution Universe 2,Action,Konami,65,X360,T,2007
MX vs. ATV Untamed,Racing / Driving,THQ,70,X360,T,2007
Final Fantasy IV,Role-Playing (RPG),SquareEnix,85,Nintendo DS,T,2007
NBA Street Homecourt,Sports,EA,80,X360,T,2007
The Simpsons Game,Action,EA,64,Nintendo Wii,T,2007
Winter Sports: The Ultimate Challenge,"Racing / Driving,Sports",,52,Nintendo Wii,E,2007
WWE Smackdown vs. Raw 2008,Sports,THQ,68,Sony PSP,E,2007
Tiger Woods PGA Tour 07,Sports,EA,71,Nintendo Wii,T,2007
Crash of the Titans,Action,,73,Nintendo DS,T,2007
Sonic Rivals 2,Action,Sega,60,Sony PSP,M,2007
Boogie,Action,EA,57,Nintendo Wii,T,2007
Medal of Honor: Airborne,Action,EA,73,X360,E,2007
The Sims 2: Castaway,Simulation,EA,73,Nintendo Wii,T,2007
Spider-Man 3,Action,Activision,53,Nintendo Wii,T,2007
Lost Odyssey,Role-Playing (RPG),Microsoft,78,X360,T,2007
Bee Movie Game,Adventure,Activision,58,Nintendo DS,E,2007
Spider-Man 3,Action,Activision,79,Nintendo DS,M,2007
Final Fantasy Tactics,"Role-Playing (RPG),Strategy",SquareEnix,88,Sony PSP,M,2007
Endless Ocean,Simulation,Nintendo,72,Nintendo Wii,E,2007
SingStar,Simulation,Sony,82,PlayStation 3,E,2007
Ratatouille,Action,THQ,62,Nintendo Wii,T,2007
The Sims 2: Pets,Simulation,EA,65,Nintendo Wii,T,2007
Two Worlds,"Action,Role-Playing (RPG)",,50,X360,M,2007
Crash of the Titans,Action,,69,Nintendo Wii,E,2007
Sonic the Hedgehog,Action,Sega,46,X360,T,2007
Mega Man Star Force: Dragon,"Action,Role-Playing (RPG)",Capcom,60,Nintendo DS,T,2007
Sonic the Hedgehog,Action,Sega,43,PlayStation 3,M,2007
Harry Potter and the Order of the Phoenix,Action,EA,69,Nintendo Wii,T,2007
Nicktoons: Attack of the Toybots,Action,THQ,60,Nintendo Wii,T,2007
WWE Smackdown vs. Raw 2008,Sports,THQ,59,Nintendo Wii,M,2007
The Simpsons Game,Action,EA,71,PlayStation 3,E,2007
DiRT,"Racing / Driving,Simulation,Sports",,83,X360,E,2007
Kane & Lynch: Dead Men,Action,Eidos,65,X360,E,2007
Jam Sessions,"Educational,Simulation",Ubisoft,72,Nintendo DS,T,2007
Monster Hunter Freedom 2,"Action,Strategy",Capcom,72,Sony PSP,T,2007
Shadowrun,Action,Microsoft,66,X360,E,2007
Thrillville: Off the Rails,"Simulation,Strategy",,70,Nintendo Wii,E,2007
Tony Hawk's Proving Ground,Sports,Activision,73,PlayStation 3,E,2007
My Word Coach,Educational,Ubisoft,71,Nintendo DS,T,2007
The World Ends With You,"Action,Adventure,Role-Playing (RPG)",SquareEnix,88,Nintendo DS,M,2007
The BIGS,"Action,Simulation,Sports",2K,66,Nintendo Wii,M,2007
NCAA Football 08,Sports,EA,77,PlayStation 3,T,2007
Final Fantasy Tactics A2: Grimoire of the Rift,"Role-Playing (RPG),Strategy",SquareEnix,80,Nintendo DS,E,2007
Beowulf: The Game,Action,Ubisoft,51,X360,E,2007
The Darkness,Action,2K,82,X360,M,2007
Tom Clancy's Ghost Recon: Advanced Warfighter 2...,Action,Ubisoft,84,PlayStation 3,T,2007
Final Fantasy,Role-Playing (RPG),SquareEnix,67,Sony PSP,T,2007
Lair,Action,Sony,53,PlayStation 3,E,2007
Transformers: The Game,Action,Activision,53,Nintendo Wii,T,2007
Command & Conquer 3: Tiberium Wars,Strategy,EA,82,X360,T,2007
Overlord,"Action,Strategy",,76,X360,M,2007
Diner Dash,Action,,64,Nintendo DS,T,2007
Medal of Honor: Heroes 2,Action,EA,73,Nintendo Wii,E,2007
MX vs. ATV Untamed,Racing / Driving,THQ,67,PlayStation 3,T,2007
Time Crisis 4,Action,Namco,60,PlayStation 3,M,2007
Dragon Ball Z: Budokai Tenkaichi 3,Action,Atari,72,Nintendo Wii,E,2007
Final Fantasy XII: Revenant Wings,"Role-Playing (RPG),Strategy",SquareEnix,81,Nintendo DS,T,2007
SOCOM: U.S. Navy SEALs - Tactical Strike,"Action,Strategy",Sony,72,Sony PSP,M,2007
Unreal Tournament III,Action,Midway,86,PlayStation 3,M,2007
Bee Movie Game,Action,Activision,62,Nintendo Wii,E,2007
Def Jam: Icon,Action,EA,69,X360,M,2007
Transformers: The Game,Action,Activision,54,PlayStation 3,E,2007
TimeShift,Action,,70,X360,M,2007
SSX Blur,Sports,EA,74,Nintendo Wii,E,2007
Bleach: The Blade of Fate,Action,Sega,83,Nintendo DS,E,2007
EA Playground,"Racing / Driving,Sports",EA,60,Nintendo DS,E,2007
Final Fantasy II,Role-Playing (RPG),SquareEnix,63,Sony PSP,E,2007
The Eye of Judgment,Strategy,Sony,75,PlayStation 3,E,2007
MLB 07: The Show,Sports,Sony,77,PlayStation 3,T,2007
Virtua Fighter 5,Action,Sega,85,PlayStation 3,M,2007
NiGHTS: Journey of Dreams,Action,Sega,69,Nintendo Wii,M,2007
Puzzle Quest: Challenge of the Warlords,"Role-Playing (RPG),Strategy",,82,Nintendo DS,E,2007
NBA Live 08,Sports,EA,73,Sony PSP,E,2007
Kane & Lynch: Dead Men,Action,Eidos,64,PlayStation 3,E,2007
Crash of the Titans,Action,,65,X360,E,2007
Harry Potter and the Order of the Phoenix,Action,EA,51,Nintendo DS,E,2007
SimCity DS,Simulation,EA,69,Nintendo DS,T,2007
Wario: Master of Disguise,Action,Nintendo,60,Nintendo DS,E,2007
No More Heroes,"Action,Racing / Driving",Ubisoft,83,Nintendo Wii,M,2007
BlackSite: Area 51,Action,Midway,62,X360,E,2007
Shrek the Third,Action,Activision,56,X360,E,2007
Shrek the Third,Adventure,Activision,70,Nintendo DS,T,2007
Surf's Up,"Racing / Driving,Sports",Ubisoft,56,Nintendo DS,T,2007
MLB 07: The Show,Sports,Sony,82,Sony PSP,E,2007
TMNT,Action,Ubisoft,58,X360,E,2007
Spider-Man: Friend or Foe,Action,Activision,60,X360,E,2007
Contra 4,Action,Konami,83,Nintendo DS,T,2007
Phoenix Wright: Ace Attorney - Trials and Tribu...,"Adventure,Simulation",Capcom,81,Nintendo DS,T,2007
Disney Pirates of the Caribbean: At World's End,Action,Disney,66,Nintendo DS,T,2007
Dragon Ball Z: Shin Budokai - Another Road,Action,"Atari,Namco",65,Sony PSP,E,2007
Spider-Man 3,Action,Activision,60,PlayStation 3,E,2007
The Golden Compass,Action,Sega,41,X360,M,2007
Stuntman: Ignition,"Action,Racing / Driving",THQ,75,X360,T,2007
Chicken Shoot,Action,,27,Nintendo Wii,E,2007
Shrek the Third,Action,Activision,57,Nintendo Wii,E,2007
DK: Jungle Climber,"Action,Strategy",Nintendo,77,Nintendo DS,T,2007
Dragon Quest IV: Chapters of the Chosen,Role-Playing (RPG),SquareEnix,80,Nintendo DS,T,2007
300: March to Glory,Action,Eidos,55,Sony PSP,E,2007
Fire Emblem: Radiant Dawn,"Role-Playing (RPG),Strategy",Nintendo,78,Nintendo Wii,T,2007
The Golden Compass,Action,Sega,35,Nintendo Wii,E,2007
Manhunt 2,Action,Rockstar,62,Nintendo Wii,E,2007
NASCAR 08,"Racing / Driving,Sports",EA,59,X360,E,2007
Virtua Tennis 3,Sports,Sega,80,PlayStation 3,E,2007
All-Pro Football 2K8,Sports,2K,75,X360,T,2007
Major League Baseball 2K7,Sports,2K,74,PlayStation 3,M,2007
The Warriors,Action,Rockstar,52,Sony PSP,T,2007
Ghost Rider,Action,2K,49,Sony PSP,T,2007
Tony Hawk's Proving Ground,Sports,Activision,57,Nintendo Wii,E,2007
Juiced 2: Hot Import Nights,Racing / Driving,THQ,68,X360,E,2007
Juiced 2: Hot Import Nights,Racing / Driving,THQ,72,Nintendo DS,T,2007
The Simpsons Game,Action,EA,59,Sony PSP,M,2007
Syphon Filter: Logan's Shadow,"Action,Strategy",Sony,85,Sony PSP,T,2007
Tiger Woods PGA Tour 08,Sports,EA,79,PlayStation 3,T,2007
Ratatouille,Action,THQ,56,X360,T,2007
Trauma Center: New Blood,"Action,Simulation",Nintendo,77,Nintendo Wii,E,2007
Hotel Dusk: Room 215,Adventure,Nintendo,78,Nintendo DS,E,2007
Mega Man ZX Advent,Action,Capcom,78,Nintendo DS,T,2007
Silent Hill: 0rigins,Action,Konami,78,Sony PSP,E,2007
Harry Potter and the Order of the Phoenix,Action,EA,68,X360,M,2007
NHL 08 ,Sports,EA,85,X360,E,2007
Castlevania: The Dracula X Chronicles,Action,Konami,80,Sony PSP,E,2007
Tony Hawk's Proving Ground,Sports,Activision,39,Nintendo DS,M,2007
Jeanne d'Arc,"Role-Playing (RPG),Strategy",Sony,87,Sony PSP,T,2007
BWii: Battalion Wars 2,"Action,Simulation,Strategy",Nintendo,75,Nintendo Wii,T,2007
Battlestations: Midway,"Action,Strategy",Eidos,73,X360,T,2007
Dragon Ball Z: Harukanaru Densetsu,Strategy,Atari,57,Nintendo DS,T,2007
Touch the Dead,Action,,56,Nintendo DS,T,2007
The Darkness,Action,2K,80,PlayStation 3,E,2007
Donkey Kong Barrel Blast,Racing / Driving,Nintendo,46,Nintendo Wii,T,2007
The BIGS,"Action,Simulation,Sports",2K,79,X360,M,2007
Armored Core 4,Action,Sega,65,X360,E,2007
Etrian Odyssey,Role-Playing (RPG),Nintendo,75,Nintendo DS,E,2007
Ben 10: Protector of the Earth,Action,,60,Sony PSP,T,2007
Tom Clancy's Splinter Cell: Double Agent,"Action,Strategy",Ubisoft,78,PlayStation 3,M,2007
Looney Tunes: Acme Arsenal,Action,,27,Nintendo Wii,T,2007
Zack & Wiki: Quest for Barbaros' Treasure,Adventure,Capcom,87,Nintendo Wii,E,2007
Monster Jam,Sports,Activision,43,X360,M,2007
Virtua Fighter 5,Action,Sega,89,X360,E,2007
Lunar Knights,Action,Konami,82,Nintendo DS,T,2007
Enchanted Arms,Role-Playing (RPG),Ubisoft,64,PlayStation 3,E,2007
F.E.A.R.: First Encounter Assault Recon,Action,,72,PlayStation 3,T,2007
Folklore,"Action,Role-Playing (RPG)",Sony,75,PlayStation 3,E,2007
Juiced 2: Hot Import Nights,Racing / Driving,THQ,71,PlayStation 3,T,2007
The Elder Scrolls IV: Shivering Isles,"Action,Role-Playing (RPG)",,86,X360,E,2007
NHL 08,Sports,EA,86,PlayStation 3,T,2007
NCAA 07 March Madness,Sports,EA,67,X360,E,2007
Rayman Raving Rabbids,Action,Ubisoft,67,X360,M,2007
Viva Pi$?ata: Party Animals,Racing / Driving,Microsoft,56,X360,T,2007
Warriors Orochi,"Action,Role-Playing (RPG)",,53,X360,E,2007
Luminous Arc,"Role-Playing (RPG),Strategy",,70,Nintendo DS,T,2007
Picross DS,Strategy,Nintendo,83,Nintendo DS,E,2007
Harry Potter and the Order of the Phoenix,Action,EA,67,PlayStation 3,E,2007
College Hoops 2K7,Sports,2K,81,PlayStation 3,E,2007
The BIGS,"Action,Simulation,Sports",2K,80,PlayStation 3,T,2007
Stuntman: Ignition,"Action,Racing / Driving",THQ,76,PlayStation 3,E,2007
Mortal Kombat: Armageddon,"Action,Racing / Driving",Midway,71,Nintendo Wii,E,2007
Def Jam: Icon,Action,EA,68,PlayStation 3,E,2007
Soulcalibur Legends,Action,Namco,52,Nintendo Wii,E,2007
Surf's Up,Sports,Ubisoft,64,Nintendo Wii,T,2007
Planet Puzzle League,Strategy,Nintendo,86,Nintendo DS,E,2007
DiRT,"Racing / Driving,Simulation,Sports",,83,PlayStation 3,E,2007
TMNT,Action,Ubisoft,60,Nintendo Wii,E,2007
Soldier of Fortune: Payback,Action,Activision,50,X360,M,2007
Dynasty Warriors: Gundam,Action,Namco,60,PlayStation 3,E,2007
Disney Pirates of the Caribbean: At World's End,Action,Disney,55,PlayStation 3,M,2007
Bee Movie Game,Action,Activision,71,X360,T,2007
Dynasty Warriors: Gundam,Action,Namco,55,X360,M,2007
Golden Axe,Action,Sega,45,X360,M,2007
Dementium: The Ward,Action,,72,Nintendo DS,M,2007
Rondo of Swords,"Role-Playing (RPG),Strategy",,69,Nintendo DS,E,2007
Disgaea: Afternoon of Darkness,"Role-Playing (RPG),Strategy",,87,Sony PSP,M,2007
NASCAR 08,"Racing / Driving,Sports",EA,57,PlayStation 3,M,2007
Dragon Quest Swords: The Masked Queen and the T...,Action,SquareEnix,65,Nintendo Wii,T,2007
Call of Juarez,Action,Ubisoft,71,X360,E,2007
College Hoops 2K8,Sports,2K,81,X360,M,2007
Eternal Sonata,Role-Playing (RPG),Namco,79,X360,M,2007
Kingdom Under Fire: Circle of Doom,"Action,Role-Playing (RPG)",Microsoft,55,X360,E,2007
Vampire Rain,Action,Microsoft,38,X360,T,2007
All-Pro Football 2K8,Sports,2K,73,PlayStation 3,T,2007
Mercury Meltdown,Strategy,,77,Nintendo Wii,E,2007
Conan,"Action,Adventure",THQ,69,PlayStation 3,E,2007
Godzilla: Unleashed,Action,Atari,44,Nintendo Wii,E,2007
NBA Live 08,Sports,EA,52,Nintendo Wii,M,2007
Conan,"Action,Adventure",THQ,69,X360,E,2007
Spider-Man: Friend or Foe,Action,Activision,59,Nintendo Wii,T,2007
College Hoops 2K8,Sports,2K,82,PlayStation 3,M,2007
NBA 08,Sports,Sony,63,PlayStation 3,M,2007
Thrillville: Off the Rails,"Simulation,Strategy",,73,X360,E,2007
Geometry Wars: Galaxies,Action,,79,Nintendo DS,T,2007
Rayman Raving Rabbids,Action,Ubisoft,56,Nintendo DS,M,2007
WordJong,Strategy,,77,Nintendo DS,M,2007
"Warhammer 40,000: Squad Command",Strategy,THQ,67,Sony PSP,T,2007
Beowulf: The Game,Action,Ubisoft,51,PlayStation 3,T,2007
The Golden Compass,Action,Sega,40,PlayStation 3,M,2007
Scarface: The World is Yours,"Action,Racing / Driving",,71,Nintendo Wii,M,2007
Hot Wheels: Beat That!,"Action,Racing / Driving",Activision,43,X360,T,2007
NHL 2K8 ,Sports,2K,71,X360,T,2007
NBA Street Homecourt,Sports,EA,81,PlayStation 3,E,2007
Geometry Wars: Galaxies,Action,,80,Nintendo Wii,T,2007
Final Fantasy: Crystal Chronicles - Echoes of Time,Action,SquareEnix,75,Nintendo DS,T,2007
Godzilla Unleashed: Double Smash,Action,Atari,28,Nintendo DS,T,2007
MX vs. ATV Untamed,Racing / Driving,THQ,61,Nintendo DS,E,2007
WWE SmackDown vs. Raw 2008,Sports,THQ,61,Nintendo DS,T,2007
The BIGS,"Action,Simulation,Sports",2K,72,Sony PSP,M,2007
Brave Story: New Traveler,Role-Playing (RPG),,76,Sony PSP,T,2007
WipEout Pulse,"Action,Racing / Driving",Sony,82,Sony PSP,T,2007
TimeShift,Action,,70,PlayStation 3,M,2007
Star Trek: Conquest,"Action,Strategy",,49,Nintendo Wii,T,2007
Beautiful Katamari,Action,Namco,73,X360,M,2007
Hour of Victory,Action,Midway,37,X360,M,2007
Fantastic Four: Rise of the Silver Surfer,Action,2K,47,PlayStation 3,M,2007
SEGA Rally Revo,"Racing / Driving,Simulation",Sega,77,X360,E,2007
7 Wonders of the Ancient World,Strategy,,60,Nintendo DS,T,2007
Draglade,Action,,71,Nintendo DS,M,2007
Final Fantasy Fables: Chocobo Tales,Action,SquareEnix,75,Nintendo DS,M,2007
Marvel Trading Card Game,Strategy,Konami,61,Nintendo DS,M,2007
Crazy Taxi: Fare Wars,"Action,Racing / Driving",Sega,64,Sony PSP,E,2007
The Golden Compass,Action,Sega,28,Sony PSP,E,2007
Harry Potter and the Order of the Phoenix,Action,EA,52,Sony PSP,E,2007
Bladestorm: The Hundred Years' War,"Action,Role-Playing (RPG),Strategy",,58,PlayStation 3,E,2007
Surf's Up,Sports,Ubisoft,61,X360,E,2007
Blazing Angels 2: Secret Missions of WWII,Action,Ubisoft,72,X360,M,2007
InuYasha: Secret of the Divine Jewel,Role-Playing (RPG),Namco,46,Nintendo DS,T,2007
The Settlers,Strategy,Ubisoft,39,Nintendo DS,T,2007
Shrek the Third,Action,Activision,57,Sony PSP,T,2007
Ratatouille,Action,THQ,55,PlayStation 3,T,2007
Soldier of Fortune: Payback,Action,Activision,50,PlayStation 3,E,2007
Heatseeker,Action,,62,Nintendo Wii,T,2007
NHL 2K8,Sports,,74,PlayStation 3,E,2007
NCAA March Madness 08,Sports,EA,67,PlayStation 3,E,2007
Fantastic Four: Rise of the Silver Surfer,Action,2K,45,X360,E,2007
Monster Madness: Battle for Suburbia,Action,,55,X360,E,2007
Pro Evolution Soccer 2008,Sports,Konami,76,X360,M,2007
Blazing Angels 2: Secret Missions of WWII,Action,Ubisoft,70,PlayStation 3,T,2007
Cake Mania,Action,,55,Nintendo DS,M,2007
River King: Mystic Valley,"Adventure,Simulation,Sports",,54,Nintendo DS,T,2007
Touch Detective 2 1/2,Adventure,,67,Nintendo DS,T,2007
7 Wonders of the Ancient World,Strategy,,51,Sony PSP,E,2007
Brooktown High,Simulation,Konami,51,Sony PSP,T,2007
Crush,Action,Sega,83,Sony PSP,E,2007
Jackass: The Game,Action,,58,Sony PSP,E,2007
The Sims 2: Castaway,Simulation,EA,64,Sony PSP,T,2007
Test Drive Unlimited,Racing / Driving,Atari,80,Sony PSP,M,2007
Thrillville: Off the Rails,"Simulation,Strategy",,72,Sony PSP,T,2007
Victorious Boxers: Revolution,"Action,Simulation,Sports",Ubisoft,59,Nintendo Wii,E,2007
Bladestorm: The Hundred Years' War,"Action,Role-Playing (RPG),Strategy",,63,X360,T,2007
Looney Tunes: Acme Arsenal,Action,,40,X360,M,2007
SEGA Rally Revo,"Racing / Driving,Simulation",Sega,75,PlayStation 3,T,2007
